"Date","month","day","year","hour","Day.of.Week","weekday","Peakhour","temperature","prediction"
"12/6/2014",12,6,2014,23,6,0,0,37.94,"Optimal"
"12/7/2014",12,7,2014,0,0,0,0,37.22,"Optimal"
"12/7/2014",12,7,2014,1,0,0,0,35.78,"Optimal"
"12/7/2014",12,7,2014,2,0,0,0,37.22,"Optimal"
"12/7/2014",12,7,2014,3,0,0,0,37.22,"Optimal"
"12/7/2014",12,7,2014,4,0,0,0,35.96,"Optimal"
"12/7/2014",12,7,2014,5,0,0,0,35.06,"Optimal"
"12/7/2014",12,7,2014,6,0,0,1,33.89,"Optimal"
"12/7/2014",12,7,2014,7,0,0,1,33.98,"Optimal"
"12/7/2014",12,7,2014,8,0,0,1,33.98,"Optimal"
"12/7/2014",12,7,2014,9,0,0,1,33.98,"Optimal"
"12/7/2014",12,7,2014,10,0,0,1,33.98,"Optimal"
"12/7/2014",12,7,2014,11,0,0,1,33.98,"Optimal"
"12/7/2014",12,7,2014,12,0,0,1,33.98,"Optimal"
"12/7/2014",12,7,2014,13,0,0,1,35.96,"Optimal"
"12/7/2014",12,7,2014,14,0,0,1,37.04,"Optimal"
"12/7/2014",12,7,2014,15,0,0,1,35.96,"Optimal"
"12/7/2014",12,7,2014,16,0,0,1,32,"Optimal"
"12/7/2014",12,7,2014,17,0,0,1,30.02,"Optimal"
"12/7/2014",12,7,2014,18,0,0,1,28.04,"Optimal"
"12/7/2014",12,7,2014,19,0,0,0,26.06,"Optimal"
"12/7/2014",12,7,2014,20,0,0,0,24.08,"Optimal"
"12/7/2014",12,7,2014,21,0,0,0,23,"Optimal"
"12/7/2014",12,7,2014,22,0,0,0,21.92,"Optimal"
"12/7/2014",12,7,2014,23,0,0,0,21.02,"Optimal"
"12/8/2014",12,8,2014,0,1,1,0,19.67,"Optimal"
"12/8/2014",12,8,2014,1,1,1,0,19.94,"Optimal"
"12/8/2014",12,8,2014,2,1,1,0,19.04,"Optimal"
"12/8/2014",12,8,2014,3,1,1,0,19.04,"Optimal"
"12/8/2014",12,8,2014,4,1,1,0,19.04,"Optimal"
"12/8/2014",12,8,2014,5,1,1,0,17.96,"Optimal"
